,tweets,tweets_clean,textblob,vader,sentiment,sentiment_label,user_name,user_statuses_count,user_followers,user_location,fav_count,rt_count,tweet_date,lat,lng,place,country
0,IT’S GOING DOWN IN INDIANAPOLIS LADIES &amp; GENTLEMAN https://t.co/o4OV64T3QW,IT S GOING DOWN IN INDIANAPOLIS LADIES amp GENTLEMAN,-0.15555555555555559,0.0,-0.07777777777777779,neutral,Barstool Indy,1305,7002,"Indianapolis, IN",108,5,2021-05-10 23:59:59,,,"Indianapolis, IN",United States
1,@byJenAMiller @FueledbyLOLZ Along with the Wave Inspire 10. Those 2 updates were so awful that even the Mizuno reps freely admitted it,Along with the Wave Inspire 10 Those 2 updates were so awful that even the Mizuno reps freely admitted it,-0.3,0.4825,0.09125,neutral,Curtis Hall,3693,156,Wisconsin,2,0,2021-05-10 23:59:59,,,"Wisconsin, USA",United States
2,I shoulda got a ppp so I can get a bbl 😂,I shoulda got a ppp so I can get a bbl,0.0,0.4404,0.2202,neutral,Top Tier Masculine Sissy,22195,843,"Dallas, Texas",3,0,2021-05-10 23:59:59,,,"Dallas, TX",United States
3,twitter users looking through their camera roll to  to reply with the same memes under literally every viral tweet that appears on their timeline https://t.co/Yog3vPc5aZ,twitter users looking through their camera roll to to reply with the same memes under literally every viral tweet that appears on their timeline,0.0,0.0,0.0,neutral,2015 Subaru Legacy 2.5 Limited on Work Emitz,1578,78,"Ashburn, VA",0,0,2021-05-10 23:59:59,,,"Ashburn, VA",United States
4,I wanna go to a crawfish boil soo bad 😩😍,I wanna go to a crawfish boil soo bad,-0.6999999999999998,-0.3818,-0.5408999999999999,negative,Josey,26093,745,"Nashville, TN",0,0,2021-05-10 23:59:59,,,"Nashville, TN",United States
5,"@mulaney JOHN, hello",JOHN hello,0.0,0.0,0.0,neutral,Rachel Ann,43,10,"Corvallis, OR",0,0,2021-05-10 23:59:59,,,"Oregon, USA",United States
6,@trueandfalse_ The last thing I posted was a heartwarming tweet about you and you do this to me. Lying on my name 4 what 😔,The last thing I posted was a heartwarming tweet about you and you do this to me Lying on my name 4 what,0.0,0.0,0.0,neutral,Lázaro,3677,285,"Austin, TX",0,0,2021-05-10 23:59:59,,,"Texas, USA",United States
7,@saulalvarad0711 @Luis15sanchez @DatBoiAlex_713 @SergiooBotello @ApexAdrian5 Where I took your hoe,713 Where I took your hoe,0.0,0.0,0.0,neutral,Jerry,36920,1073,,1,0,2021-05-10 23:59:58,,,"The Woodlands, TX",United States
8,Devers’ sac fly-RBI ties the game at two. #Orioles,Devers sac fly RBI ties the game at two Orioles,0.2,0.0,0.1,neutral,Domenic A. Vadala 🇺🇸,66808,800,"Manassas, VA",0,0,2021-05-10 23:59:58,,,"Bull Run, VA",United States
9,@PMPamet I agree! The motion has passed!,I agree The motion has passed,0.0,0.4738,0.2369,neutral,Colleen 👾,2405,69,"Brooklyn, NY",0,0,2021-05-10 23:59:58,,,"New Orleans, LA",United States
10,@jarrett_cochran @marcell_white2 @zackdrawdy Sounds like a challenge to me!,cochran white2 Sounds like a challenge to me,0.0,0.4753,0.23765,neutral,Allen Johnson Jr,606,80,"Florida, USA",2,0,2021-05-10 23:59:58,,,"Glenwood, FL",United States
11,@GershOnline Wow I didn't realize it was that low,Wow I didn t realize it was that low,0.05,0.4019,0.22594999999999998,neutral,Jamie Gatlin,8309,1858,"Boston, MA",0,0,2021-05-10 23:59:58,,,"Boston, MA",United States
12,@strayney So close,So close,0.0,0.0,0.0,neutral,Ge😷rge McC🤙🏻ure,47891,1695,"Boston, MA",1,0,2021-05-10 23:59:58,,,"Chelmsford, MA",United States
13,@Bloodscarecrow1 Understandable,Understandable,0.0,0.0,0.0,neutral,JayBoss,71352,2826,,1,0,2021-05-10 23:59:58,,,"La Puente, CA",United States
14,Absolutely right #Lakeshow https://t.co/5um3EpYMMu,Absolutely right Lakeshow,0.2857142857142857,0.0,0.14285714285714285,neutral,🏀Moha-Quaresma⚽️,61099,1857,"Burnsville, MN",0,0,2021-05-10 23:59:58,,,"Burnsville, MN",United States
15,"@MLKinOK @okczoo @Team_Tinker Haven’t started the release yet, but getting prepped:)",Tinker Haven t started the release yet but getting prepped,0.0,0.0,0.0,neutral,Cameron Siler Lab,1669,933,University of Oklahoma,1,0,2021-05-10 23:59:58,,,"Norman, OK",United States
16,"@washingtonpost More people die from industrialized livestock production pollution than from coal-powered plants. 
So if you were planning on leaving the city and making that long-contemplated move to the country, you’re just as likely to die from pig shit fumes as freeway gridlock fumes.",More people die from industrialized livestock production pollution than from coal powered plants So if you were planning on leaving the city and making that long contemplated move to the country you re just as likely to die from pig shit fumes as freeway gridlock fumes,0.0625,-0.9132,-0.42535,neutral,John Atkinson,49244,2691,,1,0,2021-05-10 23:59:57,,,"Houston, TX",United States
17,Be #UNBREAKABLE TO THE MOON 🚀🚀🚀 👉🏻 https://t.co/LUBroLwpUV,Be UNBREAKABLE TO THE MOON,0.0,0.0,0.0,neutral,Tony Jacobsen #UNBREAKABLE,13826,1685,"Los Angeles, CA",0,0,2021-05-10 23:59:57,,,"California, USA",United States
18,@ride100percent The fast guys here in Michigan love rocking the @ride100percent goggles! https://t.co/DE6OL36QgF,The fast guys here in Michigan love rocking the goggles,0.35,0.6696,0.5098,positive,WJC PHOTOGRAPHY,5703,1621,"Paw Paw, MI",0,0,2021-05-10 23:59:57,,,"Paw Paw, MI",United States
19,Just some carbs to load up on after temporarily losing my soul from skydiving. @ Pasquale's Pizzeria https://t.co/n6pp7uSkJK,Just some carbs to load up on after temporarily losing my soul from skydiving Pasquale s Pizzeria,0.0,-0.3818,-0.1909,neutral,Harwin🇱🇦,8821,391,Angel Grove,0,0,2021-05-10 23:59:56,-74.15201643,41.67998336,"New York, USA",United States
20,@pittgriffin Steve Jobs for one,Steve Jobs for one,0.0,0.0,0.0,neutral,Mark Schlueter مارك,64371,2331,"Parker , CO",1,0,2021-05-10 23:59:56,,,"Parker, CO",United States
21,Wow it’s really no traffic on 75/85. The hell going on?!,Wow it s really no traffic on 75 85 The hell going on,0.0,-0.5551,-0.27755,neutral,Keisha 💫,35058,688,"Atlanta, GA",0,0,2021-05-10 23:59:56,,,"Atlanta, GA",United States
22,Has anyone gotten their truck leveled? Or any Price range idea?,Has anyone gotten their truck leveled Or any Price range idea,0.0,0.0,0.0,neutral,.,11680,172,"Perris, France, IE",0,0,2021-05-10 23:59:56,,,"Moreno Valley, CA",United States
23,Grow up https://t.co/cn2e21x3nV,Grow up,0.0,0.0,0.0,neutral,michelob stan account,196829,1573,Miami / Denver,0,0,2021-05-10 23:59:56,,,"Thornton, CO",United States
24,“I will remember seeing them walk across the stage forever.” #ksugrad @kennesawstate @KSUCCSE #DataScience #Analytics https://t.co/uHHXy4Zd2V,I will remember seeing them walk across the stage forever ksugrad DataScience Analytics,0.0,0.0,0.0,neutral,School of Data Science & Analytics @KSU,1162,490,"Kennesaw, GA",5,0,2021-05-10 23:59:56,,,Fifth Third Bank Stadium,United States
