,tweets,tweets_clean,textblob,vader,sentiment,sentiment_label,user_name,user_statuses_count,user_followers,user_location,fav_count,rt_count,tweet_date,lat,lng,place,country
45,And now I'm even high as shit that art was worth the time,And now I m even high as shit that art was worth the time,0.08666666666666667,-0.4019,-0.15761666666666665,neutral,Total News junkie running bull grin and bear it,154773,858,"Colorado, USA",0,0,2021-05-10 23:59:52,,,"Glenwood Springs, CO",United States
46,@303_Magazine So.... so it’s a coffee shop?,Magazine So so it s a coffee shop,0.0,0.0,0.0,neutral,Doug Jasper,1302,219,Coastal Carolina,0,0,2021-05-10 23:59:52,,,"Denver, CO",United States
47,Dogs tired=Successful day trip up the north shore https://t.co/v8MJyRUinY,Dogs tired Successful day trip up the north shore,0.175,0.0,0.0875,neutral,Will,15148,126,"St Paul, MN",3,0,2021-05-10 23:59:52,,,"Minnesota, USA",United States
48,@VanDerek__ I was annoyed with him from day one. He gave Schmidt HELL just for him to turn out to be a shitty person. I wish he would’ve died instead of DeLuca and DeLuca was hella annoying.,I was annoyed with him from day one He gave Schmidt HELL just for him to turn out to be a shitty person I wish he would ve died instead of DeLuca and DeLuca was hella annoying,-0.6000000000000001,-0.9471,-0.7735500000000001,negative,✨ Gooch Gobblin ✨,213737,1380,Fresh Out The Asylum,1,0,2021-05-10 23:59:52,,,"Brooklyn, NY",United States
49,"“If you broke just say dat”, nah that mane ain’t no goofy &amp; just ain’t bout to spend on somebody he can’t even find a genuine connection w/ or even a like for that matter.",If you broke just say dat nah that mane ain t no goofy amp just ain t bout to spend on somebody he can t even find a genuine connection w or even a like for that matter,0.07500000000000001,-0.4215,-0.17325,neutral,Dranky Beverly & Maze🥃,267339,6838,Louisiana ⚜️ to $crewston 🤟🏾,0,0,2021-05-10 23:59:52,,,"Houston, TX",United States
50,i look at myself in the mirror and genuinely want to throw stones at myself,i look at myself in the mirror and genuinely want to throw stones at myself,0.4,0.0772,0.2386,neutral,tay🦋,2915,133,"Tyler, TX",1,0,2021-05-10 23:59:52,,,"Texas, USA",United States
51,Just posted a photo @ Sanitas Cycling https://t.co/jA3Mw0ZYrl,Just posted a photo Sanitas Cycling,0.0,0.0,0.0,neutral,Sanitas Sports,964,491,"Nederland, Colorado ",0,0,2021-05-10 23:59:51,-105.41614424,39.97645555,"Colorado, USA",United States
52,@stealthtrash It be like that,It be like that,0.0,0.3612,0.1806,neutral,banana bread at work bro,14683,191,Las Vegas,1,0,2021-05-10 23:59:51,,,"Las Vegas, NV",United States
53,"Career tip for landing jobs like ""Retail Sales Associate $13.35/hr"" in #Lewiston, ID. Go on informational interviews. The best way to get a meeting with a hiring manager is to ask for an informational meeting. #CustomerService",Career tip for landing jobs like Retail Sales Associate 13 35 hr in Lewiston ID Go on informational interviews The best way to get a meeting with a hiring manager is to ask for an informational meeting CustomerService,1.0,0.7717,0.88585,positive,ID Cust. Srv. Jobs,329,142,Idaho,0,0,2021-05-10 23:59:51,-117.0000356,46.4008392,"Lewiston, ID",United States
54,@CALLlCAT What talk about chaos - congratulations on your graduation,What talk about chaos congratulations on your graduation,0.0,0.0516,0.0258,neutral,Michelle 💙❤️🏈,24700,641,Buffalo New york,0,0,2021-05-10 23:59:51,,,"New York, USA",United States
